"[training], test",ModelID,RMSE,MARD,MAE,A,B,C,D,E,precision,recall,F1,lag
"[['575-ws-training'], '575-ws-training', '575-ws-training']",id_2020-12-02_165322_heheda,22.740779142165678,0.11104634507999103,15.70378170910905,0.8587921847246892,0.13676731793960922,0.004440497335701598,0.0,0.0,0.8333333333333334,0.3508771929824561,0.4938271604938272,"{'max_lag_time': '20', 'corr': 0.9606900746098744}"
"[['570-ws-training'], '570-ws-training', '570-ws-training']",id_2020-12-02_172916_heheda,14.983443371291006,0.06387089178421883,11.57318275074035,0.9677047289504037,0.03229527104959631,0.0,0.0,0.0,1.0,0.625,0.7692307692307693,"{'max_lag_time': '20', 'corr': 0.9825863619189057}"
"[['563-ws-training'], '563-ws-training', '563-ws-training']",id_2020-12-02_180140_heheda,19.865076653711487,0.11455619498117393,14.490363348633991,0.8959435626102292,0.0855379188712522,0.014991181657848324,0.003527336860670194,0.0,0.75,0.21818181818181817,0.3380281690140845,"{'max_lag_time': '20', 'corr': 0.9738260138909959}"
"[['559-ws-training'], '559-ws-training', '559-ws-training']",id_2020-12-02_184731_heheda,20.381018580223607,0.10056754814327502,14.722641603662487,0.897156684815487,0.10163339382940109,0.0012099213551119178,0.0,0.0,0.726027397260274,0.5638297872340425,0.6347305389221557,"{'max_lag_time': '15', 'corr': 0.9710357381594713}"
"[['591-ws-training'], '591-ws-training', '591-ws-training']",id_2020-12-02_191354_heheda,21.248835852594635,0.11751061827760366,15.191434752531581,0.8376220053238687,0.16149068322981366,0.0008873114463176575,0.0,0.0,0.3157894736842105,0.13636363636363635,0.19047619047619047,"{'max_lag_time': '20', 'corr': 0.955084586277485}"
"[['588-ws-training'], '588-ws-training', '588-ws-training']",id_2020-12-02_195058_heheda,21.41790796993068,0.11202922077966213,15.901681046147042,0.8691588785046729,0.11993769470404984,0.010903426791277258,0.0,0.0,0.6666666666666666,0.2962962962962963,0.41025641025641024,"{'max_lag_time': '25', 'corr': 0.9718939505350372}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '575-ws-training', '575-ws-training']",id_2020-12-02_211800_heheda,22.70260592798321,0.10888766766621581,15.510150132917502,0.8730017761989343,0.1216696269982238,0.0053285968028419185,0.0,0.0,0.7083333333333334,0.2982456140350877,0.4197530864197531,"{'max_lag_time': '20', 'corr': 0.9682883519713583}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '570-ws-training', '570-ws-training']",id_2020-12-03_015228_heheda,16.987267437519165,0.07758764458022183,13.535295519311811,0.9527104959630911,0.04728950403690888,0.0,0.0,0.0,0.3,0.375,0.33333333333333326,"{'max_lag_time': '30', 'corr': 0.9925313420150713}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '563-ws-training', '563-ws-training']",id_2020-12-03_053310_heheda,20.384558623119123,0.11383063198689511,14.743201591568667,0.8915343915343915,0.09435626102292768,0.010582010582010581,0.003527336860670194,0.0,0.5609756097560976,0.41818181818181815,0.47916666666666663,"{'max_lag_time': '25', 'corr': 0.9763794711924179}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '559-ws-training', '559-ws-training']",id_2020-12-03_081520_heheda,20.097977971189906,0.10316250482047701,14.79325731818779,0.8983666061705989,0.0998185117967332,0.0018148820326678765,0.0,0.0,0.7058823529411765,0.5106382978723404,0.5925925925925926,"{'max_lag_time': '15', 'corr': 0.9789258378145567}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '591-ws-training', '591-ws-training']",id_2020-12-03_120302_heheda,21.43092371312173,0.12210421733032224,15.390067334119115,0.8429458740017747,0.1526175687666371,0.0044365572315882874,0.0,0.0,0.3157894736842105,0.13636363636363635,0.19047619047619047,"{'max_lag_time': '20', 'corr': 0.9568692765207525}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '588-ws-training', '588-ws-training']",id_2020-12-03_164759_heheda,21.7197398262903,0.1160251141117639,16.18705059366857,0.8699376947040498,0.1191588785046729,0.010903426791277258,0.0,0.0,0.9,0.3333333333333333,0.48648648648648646,"{'max_lag_time': '25', 'corr': 0.9764454734116317}"
