[training]; test,RMSE,MARD,MAE,A,B,C,D,E,precision,recall,F1
[['575-ws-training']; '575-ws-training'],23.22828522,0.105963116,15.74602048,0.842806394,0.138543517,0,0.018650089,0,0.679245283,0.631578947,0.654545455
[['570-ws-training']; '570-ws-training'],14.33418231,0.062393047,11.24601699,0.965397924,0.034602076,0,0,0,1,0.125,0.222222222
[['563-ws-training']; '563-ws-training'],20.42579793,0.110148599,14.63202155,0.869488536,0.109347443,0.000881834,0.018518519,0.001763668,0.530612245,0.472727273,0.5
[['559-ws-training']; '559-ws-training'],20.45616599,0.099593336,14.89433597,0.877192982,0.113127647,0,0.009679371,0,0.673076923,0.744680851,0.707070707
[['591-ws-training']; '591-ws-training'],21.69743734,0.116571155,15.28864938,0.815439219,0.168589175,0,0.015971606,0,0.395833333,0.431818182,0.413043478
[['588-ws-training']; '588-ws-training'],21.24336921,0.107512891,15.42738098,0.8894081,0.104361371,0,0.00623053,0,0.947368421,0.666666667,0.782608696
[['575-ws-training'; '559-ws-training'; '570-ws-training'; '559-ws-training'; '591-ws-training'; '588-ws-training']; '575-ws-training'],22.54522556,0.106047791,15.24768618,0.845470693,0.131438721,0,0.023090586,0,0.766666667,0.403508772,0.528735632
[['575-ws-training'; '559-ws-training'; '570-ws-training'; '559-ws-training'; '591-ws-training'; '588-ws-training']; '570-ws-training'],14.52343022,0.06156781,11.29087476,0.978085352,0.021914648,0,0,0,1,0.625,0.769230769
[['575-ws-training'; '559-ws-training'; '570-ws-training'; '559-ws-training'; '591-ws-training'; '588-ws-training']; '563-ws-training'],20.11578155,0.108585072,14.39641191,0.881834215,0.100529101,0.000881834,0.015873016,0.000881834,0.568627451,0.527272727,0.547169811
[['575-ws-training'; '559-ws-training'; '570-ws-training'; '559-ws-training'; '591-ws-training'; '588-ws-training']; '559-ws-training'],19.65688479,0.096885321,14.43374961,0.888687235,0.101633394,0,0.009679371,0,0.698924731,0.691489362,0.695187166
[['575-ws-training'; '559-ws-training'; '570-ws-training'; '559-ws-training'; '591-ws-training'; '588-ws-training']; '591-ws-training'],21.64125634,0.119046696,15.35482761,0.820763088,0.160603372,0,0.01863354,0,0.368421053,0.318181818,0.341463415
[['575-ws-training'; '559-ws-training'; '570-ws-training'; '559-ws-training'; '591-ws-training'; '588-ws-training']; '588-ws-training'],21.3005718,0.104267256,15.72208757,0.874610592,0.120716511,0,0.004672897,0,0.714285714,0.740740741,0.727272727
